Date,Team,Quarter 1,Quarter 2,Quarter 3,Quarter 4
"Tuesday, October 19, 2021",Nets,25,34,26,19
"Tuesday, October 19, 2021",Bucks,37,29,31,30
"Tuesday, October 19, 2021",Warriors,32,21,30,38
"Tuesday, October 19, 2021",Lakers,34,25,26,29
"Wednesday, October 20, 2021",Pacers,38,37,13,34
"Wednesday, October 20, 2021",Hornets,27,32,33,31
"Wednesday, October 20, 2021",Bulls,14,26,31,23
"Wednesday, October 20, 2021",Pistons,20,24,25,19
"Wednesday, October 20, 2021",Celtics,35,23,24,34
"Wednesday, October 20, 2021",Knicks,29,25,32,30
"Wednesday, October 20, 2021",Wizards,26,31,24,17
"Wednesday, October 20, 2021",Raptors,18,19,22,24
"Wednesday, October 20, 2021",Cavaliers,32,29,29,31
"Wednesday, October 20, 2021",Grizzlies,32,41,21,38
"Wednesday, October 20, 2021",Rockets,21,24,26,35
"Wednesday, October 20, 2021",Timberwolves,32,40,27,25
"Wednesday, October 20, 2021",76ers,29,24,28,36
"Wednesday, October 20, 2021",Pelicans,25,28,17,27
"Wednesday, October 20, 2021",Magic,28,21,22,26
"Wednesday, October 20, 2021",Spurs,32,29,33,29
"Wednesday, October 20, 2021",Thunder,18,24,21,23
"Wednesday, October 20, 2021",Jazz,27,27,29,24
"Wednesday, October 20, 2021",Nuggets,26,25,34,25
"Wednesday, October 20, 2021",Suns,20,38,24,16
"Wednesday, October 20, 2021",Kings,24,38,38,24
"Wednesday, October 20, 2021",Trail Blazers,23,26,36,36
"Thursday, October 21, 2021",Mavericks,20,24,20,23
"Thursday, October 21, 2021",Hawks,22,29,35,27
"Thursday, October 21, 2021",Bucks,17,26,26,26
"Thursday, October 21, 2021",Heat,40,32,33,32
"Thursday, October 21, 2021",Clippers,27,40,26,20
"Thursday, October 21, 2021",Warriors,44,22,24,25
"Friday, October 22, 2021",Hornets,27,27,36,33
"Friday, October 22, 2021",Cavaliers,30,29,30,23
"Friday, October 22, 2021",Knicks,36,29,21,35
"Friday, October 22, 2021",Magic,16,19,29,32
"Friday, October 22, 2021",Pacers,36,37,23,27
